latitude,longitude,country
20.82488495,-98.49951688,Mexico
-3.45175152,-54.56393669,Brazil
-23.49646371,-47.46054193,Brazil
-16.54867768,-72.85277758,Peru
-35.01086957,140.0643972,Australia
-14.22366709,-43.75370355,Brazil
38.06349662,32.59794981,Turkey
-22.81322954,22.03515412,Botswana
-11.71737961,-57.05230863,Brazil
-27.07860659,146.7192057,Australia
46.71905466,9.459717888,Switzerland
16.2263944,-14.07406777,Senegal
16.5252514,79.2460586,India
-25.51086252,-63.00873004,Argentina
26.33348412,-102.6598057,Mexico
2.253234338,99.64904229,Indonesia
55.60493952,124.9186252,Russia
-28.64395625,134.3537937,Australia
0.000271325,40.38448656,Kenya
-10.78139948,-38.357234,Brazil
44.08487932,111.1884431,Mongolia
-24.09338219,-50.35383822,Brazil
-39.71868496,-70.57281281,Argentina
54.43463978,36.36091837,Russia
-7.119905295,111.5604725,Indonesia
-14.94045156,143.5541589,Australia
46.96431593,91.45170002,Mongolia
41.84265812,33.73204022,Turkey
-32.36562311,-66.93578981,Argentina
-33.07499177,-64.72527751,Argentina
46.46690779,19.61027161,Hungary
-8.709749021,-69.55795021,Brazil
-33.91484881,-57.76251157,Uruguay
37.41052793,40.84768713,Turkey
1.215827407,34.73411179,Kenya
-28.30400068,24.55413662,South Africa
12.20986266,105.3137642,Cambodia
-32.31093668,125.1562395,Australia
50.07412767,18.82259308,Poland
-31.88003046,141.7919382,Australia
42.29721959,24.92379086,Bulgaria
-37.78817006,144.2142406,Australia
-18.1015108,135.6636376,Australia
8.872528612,11.41777784,Nigeria
0.61424489,39.23578178,Kenya
-47.66708386,-67.99612516,Argentina
51.21399069,34.11921872,Ukraine
-25.86926098,143.3897193,Australia
65.78097231,45.03256739,Russia
-21.97059913,133.4859638,Australia
-0.908052928,-60.51686807,Brazil
-33.74513013,24.63639357,South Africa
-18.22216565,142.8091744,Australia
-11.55804735,-51.02835867,Brazil
-36.49550658,-60.79786056,Argentina
-10.05753479,-67.96381212,Brazil
-38.34482905,-68.53479239,Argentina
-34.69906513,150.6869225,Australia
47.44302153,109.7139337,Mongolia
-0.6317656,114.5728442,Indonesia
